Year,Month,Rank,Country,Cores,Power (kW),Manufacturer,Operating System,Memory (GB),Processor,Rmax (TFlop/s),Rpeak (TFlop/s)
2000,6,1,United States,9632.0,,Intel,ParagonOS,0.0,PentiumPro333MHz,2.379,3.207
2000,6,2,United States,5808.0,,IBM,AIX,0.0,PowerPC604e332MHz,2.144,3.8565
2000,6,3,United States,6144.0,,HPE,IRIX,0.0,R10000250MHz,1.608,3.072
2000,6,4,United States,1336.0,,IBM,AIX,0.0,POWER3375MHz,1.417,2.004
2000,6,5,Germany,112.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000375MHz,1.035,1.344
2000,6,6,Japan,100.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000375MHz,0.917,1.2
2000,6,7,United States,1084.0,,Cray/HPE,UNICOS,0.0,EV56598MHz,0.891,1.3008
2000,6,8,United States,1084.0,,Cray/HPE,UNICOS,0.0,EV56598MHz,0.891,1.3008
2000,6,9,Japan,128.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000250MHz,0.873,1.024
2000,6,10,United States,1324.0,,Cray/HPE,UNICOS,0.0,EV5450MHz,0.815,1.1916
2000,11,1,United States,8192.0,,IBM,AIX,0.0,POWER3375MHz,4.938,12.288
2000,11,2,United States,9632.0,,Intel,ParagonOS,0.0,PentiumPro333MHz,2.379,3.207
2000,11,3,United States,5808.0,,IBM,AIX,0.0,PowerPC604e332MHz,2.144,3.8565
2000,11,4,United States,6144.0,,HPE,IRIX,0.0,R10000250MHz,1.608,3.072
2000,11,5,United States,1336.0,,IBM,AIX,0.0,POWER3375MHz,1.417,2.004
2000,11,6,United States,1104.0,,IBM,AIX,0.0,POWER3375MHz,1.179,1.656
2000,11,7,Germany,112.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000375MHz,1.035,1.344
2000,11,8,United States,1152.0,,IBM,AIX,0.0,POWER3375MHz,0.929,1.728
2000,11,9,Japan,100.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000375MHz,0.917,1.2
2000,11,10,United States,1084.0,,Cray/HPE,UNICOS,0.0,EV56598MHz,0.892,1.3008
2001,6,1,United States,8192.0,,IBM,AIX,0.0,POWER3375MHz,7.226,12.288
2001,6,2,United States,2528.0,,IBM,AIX,0.0,POWER3375MHz,2.526,3.792
2001,6,3,United States,9632.0,,Intel,ParagonOS,0.0,PentiumPro333MHz,2.379,3.207
2001,6,4,United States,5808.0,,IBM,AIX,0.0,PowerPC604e332MHz,2.144,3.8565
2001,6,5,Japan,1152.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000450MHz,1.7090999999999998,2.074
2001,6,6,United States,6144.0,,HPE,IRIX,0.0,R10000250MHz,1.608,3.072
2001,6,7,United States,1336.0,,IBM,AIX,0.0,POWER3375MHz,1.417,2.004
2001,6,8,Japan,128.0,,NEC,Super-UX,0.0,NEC312MHz,1.192,1.28
2001,6,9,United States,1104.0,,IBM,AIX,0.0,POWER3375MHz,1.179,1.656
2001,6,10,United States,1104.0,,IBM,AIX,0.0,POWER3375MHz,1.179,1.656
2001,11,1,United States,8192.0,,IBM,AIX,0.0,POWER3375MHz,7.226,12.288
2001,11,2,United States,3024.0,,HP,Tru64UNIX,0.0,Alpha1GHz,4.059,6.048
2001,11,3,United States,3328.0,,IBM,AIX,0.0,POWER3375MHz,3.052,4.992
2001,11,4,United States,9632.0,,Intel,ParagonOS,0.0,PentiumPro333MHz,2.379,3.207
2001,11,5,United States,5808.0,,IBM,AIX,0.0,PowerPC604e332MHz,2.144,3.8565
2001,11,6,United States,1536.0,,HP,Tru64UNIX,0.0,Alpha1GHz,2.096,3.072
2001,11,7,Japan,1152.0,,Hitachi,HI-UX/MPP,0.0,HitachiSR8000450MHz,1.7090999999999998,2.074
2001,11,8,United States,6144.0,,HPE,IRIX,0.0,R10000250MHz,1.608,3.072
2001,11,9,United States,1336.0,,IBM,AIX,0.0,POWER3375MHz,1.417,2.004
2001,11,10,Germany,1280.0,,IBM,AIX,0.0,POWER3375MHz,1.293,1.92
2002,6,1,Japan,5120.0,3200.0,NEC,Super-UX,0.0,NEC1GHz,35.86,40.96
2002,6,2,United States,8192.0,,IBM,AIX,0.0,POWER3375MHz,7.226,12.288
2002,6,3,United States,3016.0,,HP,Tru64UNIX,0.0,Alpha1GHz,4.463,6.032
2002,6,4,France,2560.0,,HP,Tru64UNIX,0.0,Alpha1GHz,3.98,5.12
2002,6,5,United States,3328.0,,IBM,AIX,0.0,POWER3375MHz,3.052,4.992
2002,6,6,United States,2048.0,,HP,Tru64UNIX,0.0,Alpha1GHz,2.916,4.096
2002,6,7,United States,9632.0,,Intel,ParagonOS,0.0,PentiumPro333MHz,2.379,3.207
2002,6,8,United States,864.0,,IBM,AIX,0.0,POWER42C1.3GHz,2.31,4.4928
2002,6,9,United States,5808.0,,IBM,AIX,0.0,PowerPC604e332MHz,2.144,3.8565
2002,6,10,United States,768.0,,IBM,AIX,0.0,POWER42C1.3GHz,2.05,3.9936
2002,11,1,Japan,5120.0,3200.0,NEC,Super-UX,0.0,NEC1GHz,35.86,40.96
2002,11,2,United States,4096.0,,HP,Tru64UNIX,0.0,Alpha1.25GHz,7.727,10.24
2002,11,3,United States,4096.0,,HP,Tru64UNIX,0.0,Alpha1.25GHz,7.727,10.24
2002,11,4,United States,8192.0,,IBM,AIX,0.0,POWER3375MHz,7.226,12.288
2002,11,5,United States,2304.0,,LinuxNetworx/Quadrics,Linux,0.0,Pentium4Xeon2.4GHz,5.694,11.06
2002,11,6,United States,3016.0,,HP,Tru64UNIX,0.0,Alpha1GHz,4.463,6.032
2002,11,7,France,2560.0,,HP,Tru64UNIX,0.0,Alpha1GHz,3.98,5.12
2002,11,8,United States,1536.0,,HPTi,Linux,0.0,Pentium4Xeon2.2GHz,3.337,6.758
2002,11,9,United Kingdom,1280.0,,IBM,AIX,0.0,POWER42C1.3GHz,3.241,6.656
2002,11,10,United States,1216.0,,IBM,AIX,0.0,POWER42C1.3GHz,3.164,6.323
2003,6,1,Japan,5120.0,3200.0,NEC,Super-UX,0.0,NEC1GHz,35.86,40.96
2003,6,2,United States,8192.0,,HP,Tru64UNIX,0.0,Alpha1.25GHz,13.88,20.48
